hour,updated_type,updated_subtype,latitude_bin,longitude_bin,alert_count
0:00,Accident,Minor,41.84,-87.69,1
0:00,Accident,Minor,41.84,-87.68,1
0:00,Accident,Minor,41.85,-87.64,1
0:00,Accident,Minor,41.85,-87.63,3
0:00,Accident,Minor,41.87,-87.76,4
0:00,Accident,Minor,41.87,-87.74,1
0:00,Accident,Minor,41.87,-87.71,1
0:00,Accident,Minor,41.87,-87.65,5
0:00,Accident,Minor,41.87,-87.64,2
0:00,Accident,Minor,41.87,-87.63,1
0:00,Accident,Minor,41.87,-87.62,2
0:00,Accident,Minor,41.88,-87.7,1
0:00,Accident,Minor,41.88,-87.69,1
0:00,Accident,Minor,41.88,-87.68,1
0:00,Accident,Minor,41.88,-87.67,1
0:00,Accident,Minor,41.88,-87.65,2
0:00,Accident,Minor,41.88,-87.64,1
0:00,Accident,Minor,41.88,-87.63,1
0:00,Accident,Minor,41.88,-87.62,3
0:00,Accident,Minor,41.89,-87.77,1
0:00,Accident,Minor,41.89,-87.65,3
0:00,Accident,Minor,41.89,-87.64,2
0:00,Accident,Minor,41.89,-87.63,1
0:00,Accident,Minor,41.89,-87.62,2
0:00,Accident,Minor,41.9,-87.74,1
0:00,Accident,Minor,41.9,-87.67,1
0:00,Accident,Minor,41.9,-87.66,1
0:00,Accident,Minor,41.9,-87.62,1
0:00,Accident,Minor,41.91,-87.67,2
0:00,Accident,Minor,41.91,-87.66,1
0:00,Accident,Minor,41.91,-87.63,4
0:00,Accident,Minor,41.92,-87.81,1
0:00,Accident,Minor,41.92,-87.73,1
0:00,Accident,Minor,41.92,-87.69,1
0:00,Accident,Minor,41.92,-87.68,1
0:00,Accident,Minor,41.92,-87.67,4
0:00,Accident,Minor,41.92,-87.64,1
0:00,Accident,Minor,41.93,-87.77,1
0:00,Accident,Minor,41.93,-87.73,1
0:00,Accident,Minor,41.93,-87.71,1
0:00,Accident,Minor,41.93,-87.7,1
0:00,Accident,Minor,41.93,-87.69,1
0:00,Accident,Minor,41.93,-87.68,2
0:00,Accident,Minor,41.93,-87.67,3
0:00,Accident,Minor,41.94,-87.84,1
0:00,Accident,Minor,41.94,-87.72,2
0:00,Accident,Minor,41.95,-87.84,1
0:00,Accident,Minor,41.95,-87.8,1
0:00,Accident,Minor,41.95,-87.76,1
0:00,Accident,Minor,41.95,-87.73,3
0:00,Accident,Minor,41.95,-87.72,2
0:00,Accident,Minor,41.95,-87.64,3
0:00,Accident,Minor,41.96,-87.88,1
0:00,Accident,Minor,41.96,-87.75,2
0:00,Accident,Minor,41.96,-87.74,5
0:00,Accident,Minor,41.96,-87.73,1
0:00,Accident,Minor,41.96,-87.67,1
0:00,Accident,Minor,41.96,-87.65,1
0:00,Accident,Minor,41.97,-87.77,3
0:00,Accident,Minor,41.97,-87.76,1
0:00,Accident,Minor,41.97,-87.75,3
0:00,Accident,Minor,41.97,-87.73,1
0:00,Accident,Minor,41.97,-87.68,1
0:00,Accident,Minor,41.97,-87.67,1
0:00,Accident,Minor,41.98,-87.84,1
0:00,Accident,Minor,41.98,-87.83,1
0:00,Accident,Minor,41.98,-87.82,1
0:00,Accident,Minor,41.98,-87.81,1
0:00,Accident,Minor,41.98,-87.8,1
0:00,Accident,Minor,41.98,-87.79,4
0:00,Accident,Minor,41.98,-87.75,1
0:00,Accident,Minor,41.98,-87.66,1
0:00,Accident,Minor,41.98,-87.65,2
0:00,Accident,Minor,41.99,-87.75,1
0:00,Accident,Minor,41.99,-87.73,1
0:00,Accident,Minor,41.99,-87.7,1
0:00,Accident,Minor,41.99,-87.66,3
0:00,Accident,Minor,41.99,-87.65,1
0:00,Accident,Minor,42.0,-87.68,1
0:00,Accident,Unclassified,41.65,-87.58,3
0:00,Accident,Unclassified,41.66,-87.62,1
0:00,Accident,Unclassified,41.66,-87.59,3
0:00,Accident,Unclassified,41.66,-87.58,1
0:00,Accident,Unclassified,41.67,-87.6,3
0:00,Accident,Unclassified,41.67,-87.59,2
0:00,Accident,Unclassified,41.68,-87.67,1
0:00,Accident,Unclassified,41.69,-87.66,1
0:00,Accident,Unclassified,41.69,-87.62,1
0:00,Accident,Unclassified,41.69,-87.6,3
0:00,Accident,Unclassified,41.7,-87.68,1
0:00,Accident,Unclassified,41.7,-87.67,1
0:00,Accident,Unclassified,41.7,-87.61,1
0:00,Accident,Unclassified,41.7,-87.6,1
